ID,Title,Author,ReleaseDate
"14741","Duhovnye ody (Spiritual Odes)","Gavrila Romanovich Derzhavin","January 20, 2005"
"14742","Vanishing England","P. H. Ditchfield","January 20, 2005"
"14754","An Illustrated History of Ireland from AD 400 to 1800","Mary Francis Cusack","January 22, 2005"
"148","The Autobiography of Benjamin Franklin","Benjamin Franklin","July 1, 1994"
"14811","The new freedom","Woodrow Wilson","January 26, 2005"
"14825","Our Foreigners: A Chronicle of Americans in the Making","Samuel Peter Orth","January 28, 2005"
"14833","Varney the Vampire; Or, the Feast of Blood","Thomas Peckett Prest","January 29, 2005"
"14849","Leaves of Life, for Daily Inspiration","Margaret Bird Steinmetz","January 31, 2005"
"14859","Daddy Takes Us to the Garden","Howard Roger Garis","February 1, 2005"
"14921","Punch, or the London Charivari. Volume 1, July 31, 1841","Various","February 7, 2005"
"14922","Punch, or the London Charivari, Volume 1, August 7, 1841","Various","February 7, 2005"
"14945","Cato Maior de Senectute","Marcus Tullius Cicero","February 7, 2005"
"14954","The Cid","Pierre Corneille","February 7, 2005"
"14969","Three Contributions to the Theory of Sex","Sigmund Freud","February 8, 2005"
"14975","Southern Horrors: Lynch Law in All Its Phases","Ida B. Wells-Barnett","February 8, 2005"
"14976","Mob Rule in New Orleans","Ida B. Wells-Barnett","February 8, 2005"
"14977","The Red Record","Ida B. Wells-Barnett","February 8, 2005"
"14980","Outwitting Our Nerves: A Primer of Psychotherapy","Josephine A. Jackson","February 8, 2005"
"14981","The Itinerary of Benjamin of Tudela","active 12th century of Tudela Benjamin","February 8, 2005"
"14986","Experimental Researches in Electricity, Volume 1","Michael Faraday","February 9, 2005"
